Аймаг,Тойрог,Мандат,Дэвшигчийн тоо,Дэвшигчийн нэр,Нам
,,,,Очирболдын Сарантуяа,Бие даан нэр дэвшигч
,,,,Гомбодоржийн Золбаяр,Бие даан нэр дэвшигч
,,,,Энхболдын Болорчулуун,Бие даан нэр дэвшигч
,,,,Сайнбаярын Амарсүлд,Бие даан нэр дэвшигч
,,,,Чадраабалын Отгончулуун,Бие даан нэр дэвшигч
Чингэлтэй дүүрэг,25-р тойрог,3 мандат,33 нэр дэвшигч,Шаравдэмбэрэлийн Энхтуул,Зөв хүн электорат эвсэл
,,,,Мөнхөөгийн Оюунчимэг,Монгол Ардын нам
,,,,Төмөрбаатарын Аюурсайхан,Монгол Ардын нам
,,,,Жамъянхорлоогийн Сүхбаатар,Монгол Ардын нам
,,,,Цэнд Баатархүү,Ардчилсан нам
,,,,Гантөмөр Уянга,Ардчилсан нам
,,,,Ринзааны Булгамаа,Ардчилсан нам
,,,,Бямбасүрэнгийн Жагар,Монголын Ногоон нам
,,,,Цэрэндоржийн Ганхуяг,Та бидний эвсэл
,,,,Батын Батбаатар,Та бидний эвсэл
,,,,Шархүүгийн Хишигсүрэн,Та бидний эвсэл
,,,,Базарсадын Жаргалсайхан,Шинэ эвсэл
,,,,Шархүүгийн Нанжид,Шинэ эвсэл
,,,,Ренцэндоржийн Ууганбаатар,Шинэ эвсэл
,,,,Бадрахын Найдалаа,Зөв хүн электорат эвсэл
,,,,Гомбожавын Ганбаяр,Зөв хүн электорат эвсэл
,,,,Ганхүүгийн Батбаяр,Эрх Чөлөөг Хэрэгжүүлэгч нам
,,,,Дэмбэрэлийн Өнөрзул,Хөгжлийн Хөтөлбөр нам
,,,,Доржрэнцэнгийн Сүндий,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Мижиддоржийн Бат,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Давгадоржийн Уламбаяр,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Буянтогтохын Батмөнх,Зон Олны нам
,,,,Дашдэлэгийн Нямтүшиг,Ард Түмний Олонхийн Засаглал нам
,,,,Чойсүрэнгийн Буянжаргал,Ард Түмний Олонхийн Засаглал нам
,,,,Отгоны Нарантуяа,Гэр хороолол хөгжлийн нам
,,,,Цэрэндоржийн Пүрэвхүү,Бие даан нэр дэвшигч
,,,,Дагдангийн Анхбаяр,Бие даан нэр дэвшигч
